,end,val,accn,fy,fp,form,filed,frame
0,2009-06-19,524998013,0000796343-09-000026,2009,Q2,10-Q,2009-06-26,CY2009Q2I
1,2009-09-25,523760118,0000796343-09-000032,2009,Q3,10-Q,2009-10-01,CY2009Q3I
2,2010-04-02,526422951,0000796343-10-000007,2010,Q1,10-Q,2010-04-09,CY2010Q1I
3,2010-06-15,524119635,0000796343-10-000003,2009,FY,10-K,2010-01-22,
4,2010-06-25,525224418,0000796343-10-000011,2010,Q2,10-Q,2010-07-02,CY2010Q2I
5,2010-10-01,508716666,0000796343-10-000014,2010,Q3,10-Q,2010-10-08,CY2010Q3I
6,2011-01-21,504728145,0000796343-11-000003,2010,FY,10-K,2011-01-27,CY2010Q4I
7,2011-04-01,504458624,0000796343-11-000006,2011,Q1,10-Q,2011-04-08,CY2011Q1I
8,2011-06-24,493866593,0000796343-11-000010,2011,Q2,10-Q,2011-06-29,CY2011Q2I
9,2011-09-30,490895858,0000796343-11-000015,2011,Q3,10-Q,2011-10-07,CY2011Q3I
10,2012-01-20,493802690,0000796343-12-000003,2011,FY,10-K,2012-01-26,CY2011Q4I
11,2012-03-23,496126247,0000796343-12-000013,2012,Q1,10-Q,2012-03-30,CY2012Q1I
12,2012-06-22,491762581,0000796343-12-000022,2012,Q2,10-Q,2012-06-27,CY2012Q2I
13,2012-09-21,495054621,0000796343-12-000029,2012,Q3,10-Q,2012-09-27,CY2012Q3I
14,2013-01-18,498790943,0000796343-13-000008,2012,FY,10-K,2013-01-22,CY2012Q4I
15,2013-03-22,501936172,0000796343-13-000033,2013,Q1,10-Q,2013-03-28,CY2013Q1I
16,2013-06-21,502261330,0000796343-13-000044,2013,Q2,10-Q,2013-06-28,CY2013Q2I
17,2013-09-27,499887325,0000796343-13-000058,2013,Q3,10-Q,2013-10-03,CY2013Q3I
18,2014-01-17,496604463,0000796343-14-000004,2013,FY,10-K,2014-01-21,CY2013Q4I
19,2014-03-21,497730431,0000796343-14-000023,2014,Q1,10-Q,2014-03-28,CY2014Q1I
20,2014-06-20,497375239,0000796343-14-000046,2014,Q2,10-Q,2014-06-25,CY2014Q2I
21,2014-09-19,498738874,0000796343-14-000092,2014,Q3,10-Q,2014-09-25,CY2014Q3I
22,2015-01-16,498314061,0000796343-15-000022,2014,FY,10-K,2015-01-20,CY2014Q4I
23,2015-03-20,500269100,0000796343-15-000084,2015,Q1,10-Q,2015-03-25,CY2015Q1I
24,2015-06-19,497645374,0000796343-15-000151,2015,Q2,10-Q,2015-06-24,CY2015Q2I
25,2015-09-18,498799349,0000796343-15-000188,2015,Q3,10-Q,2015-09-23,CY2015Q3I
26,2016-01-15,498330407,0000796343-16-000224,2015,FY,10-K,2016-01-19,CY2015Q4I
27,2016-03-25,500209547,0000796343-16-000290,2016,Q1,10-Q,2016-03-30,CY2016Q1I
28,2016-06-24,498290892,0000796343-16-000352,2016,Q2,10-Q,2016-06-29,CY2016Q2I
29,2016-09-23,497227020,0000796343-16-000395,2016,Q3,10-Q,2016-09-27,CY2016Q3I
30,2017-01-13,494078475,0000796343-17-000031,2016,FY,10-K,2017-01-20,CY2016Q4I
31,2017-03-24,494697996,0000796343-17-000088,2017,Q1,10-Q,2017-03-29,CY2017Q1I
32,2017-06-23,493405675,0000796343-17-000130,2017,Q2,10-Q,2017-06-28,CY2017Q2I
33,2017-09-22,492943014,0000796343-17-000157,2017,Q3,10-Q,2017-09-27,CY2017Q3I
34,2018-01-12,491578529,0000796343-18-000015,2017,FY,10-K,2018-01-22,CY2017Q4I
35,2018-03-23,492470335,0000796343-18-000065,2018,Q1,10-Q,2018-03-28,CY2018Q1I
36,2018-06-22,489662656,0000796343-18-000134,2018,Q2,10-Q,2018-06-27,CY2018Q2I
37,2018-09-21,488133527,0000796343-18-000160,2018,Q3,10-Q,2018-09-26,CY2018Q3I
38,2019-01-18,487725915,0000796343-19-000019,2018,FY,10-K,2019-01-25,CY2018Q4I
39,2019-03-22,487950943,0000796343-19-000079,2019,Q1,10-Q,2019-03-27,CY2019Q1I
40,2019-06-21,485438762,0000796343-19-000142,2019,Q2,10-Q,2019-06-26,CY2019Q2I
41,2019-09-20,484078609,0000796343-19-000165,2019,Q3,10-Q,2019-09-26,CY2019Q3I
42,2020-01-10,482130975,0000796343-20-000013,2019,FY,10-K,2020-01-21,CY2019Q4I
43,2020-03-20,481800850,0000796343-20-000064,2020,Q1,10-Q,2020-03-25,CY2020Q1I
44,2020-06-19,479665239,0000796343-20-000143,2020,Q2,10-Q,2020-06-24,CY2020Q2I
45,2020-09-18,479718983,0000796343-20-000201,2020,Q3,10-Q,2020-09-23,CY2020Q3I
46,2021-01-08,478700000,0000796343-21-000004,2020,FY,10-K,2021-01-15,CY2020Q4I
47,2021-03-26,478000000,0000796343-21-000069,2021,Q1,10-Q,2021-03-31,CY2021Q1I
48,2021-06-25,476400000,0000796343-21-000159,2021,Q2,10-Q,2021-06-30,CY2021Q2I
49,2021-09-24,475800000,0000796343-21-000210,2021,Q3,10-Q,2021-09-29,CY2021Q3I
50,2022-01-14,471700000,0000796343-22-000032,2021,FY,10-K,2022-01-21,CY2021Q4I
