,2016,2015,2014,2013,2012,2011,2010,2009,2008,2021,2020,2019,2018,2017,2022,1996,2007,2006,2005,2004,2003,2002,2001,1998,1997,2000,1999,1995
1535379,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1535379/000162828021005632/0001628280-21-005632-index.htm,https://www.sec.gov/Archives/edgar/data/1535379/000162828020004231/0001628280-20-004231-index.htm,https://www.sec.gov/Archives/edgar/data/1535379/000162828019003670/0001628280-19-003670-index.htm,https://www.sec.gov/Archives/edgar/data/1535379/000162828018004005/0001628280-18-004005-index.htm,,,,,,,,,,,,,,,
1438231,https://www.sec.gov/Archives/edgar/data/1438231/000119312516478031/0001193125-16-478031-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312515056195/0001193125-15-056195-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312514062441/0001193125-14-062441-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312513071702/0001193125-13-071702-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312512078765/0001193125-12-078765-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312511054776/0001193125-11-054776-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000119312510038844/0001193125-10-038844-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000104746909001962/0001047469-09-001962-index.htm,,https://www.sec.gov/Archives/edgar/data/1438231/000156459021009019/0001564590-21-009019-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459020007343/0001564590-20-007343-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459019003876/0001564590-19-003876-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459018002871/0001564590-18-002871-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459017002248/0001564590-17-002248-index.htm,https://www.sec.gov/Archives/edgar/data/1438231/000156459022008846/0001564590-22-008846-index.htm,,,,,,,,,,,,,
1560327,https://www.sec.gov/Archives/edgar/data/1560327/000119312516500210/0001193125-16-500210-index.htm,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1560327/000156032721000043/0001560327-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032720000046/0001560327-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032719000046/0001560327-19-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032718000032/0001560327-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000119312517076894/0001193125-17-076894-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032722000026/0001560327-22-000026-index.htm,,,,,,,,,,,,,
1022505,https://www.sec.gov/Archives/edgar/data/1022505/000072174816000951/0000721748-16-000951-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174815000004/0000721748-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174814000043/0000721748-14-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000072174813000002/0000721748-13-000002-index.htm,,,,,,https://www.sec.gov/Archives/edgar/data/1022505/000149315221032215/0001493152-21-032215-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315220000463/0001493152-20-000463-index.htm,,https://www.sec.gov/Archives/edgar/data/1022505/000149315218000491/0001493152-18-000491-index.htm,https://www.sec.gov/Archives/edgar/data/1022505/000149315217001035/0001493152-17-001035-index.htm,,,,,,,,,,,,,,
1682325,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1682325/000155837021001283/0001558370-21-001283-index.htm,https://www.sec.gov/Archives/edgar/data/1682325/000155837020002686/0001558370-20-002686-index.htm,https://www.sec.gov/Archives/edgar/data/1682325/000114420419014652/0001144204-19-014652-index.htm,https://www.sec.gov/Archives/edgar/data/1682325/000114420418015305/0001144204-18-015305-index.htm,https://www.sec.gov/Archives/edgar/data/1682325/000114420417016560/0001144204-17-016560-index.htm,https://www.sec.gov/Archives/edgar/data/1682325/000155837022001433/0001558370-22-001433-index.htm,,,,,,,,,,,,,
1739936,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1739936/000156459021006682/0001564590-21-006682-index.htm,https://www.sec.gov/Archives/edgar/data/1739936/000156459020007349/0001564590-20-007349-index.htm,https://www.sec.gov/Archives/edgar/data/1739936/000156459019004449/0001564590-19-004449-index.htm,,,https://www.sec.gov/Archives/edgar/data/1739936/000095017022001217/0000950170-22-001217-index.htm,,,,,,,,,,,,,
855612,https://www.sec.gov/Archives/edgar/data/855612/000156459016014407/0001564590-16-014407-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000119312515086911/0001193125-15-086911-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000119312514095290/0001193125-14-095290-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000119312513105106/0001193125-13-105106-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000119312512106508/0001193125-12-106508-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095012311024090/0000950123-11-024090-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095012310024791/0000950123-10-024791-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095013409004380/0000950134-09-004380-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095013408004812/0000950134-08-004812-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000156459021011255/0001564590-21-011255-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000156459020009201/0001564590-20-009201-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000156459019006989/0001564590-19-006989-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000156459018004646/0001564590-18-004646-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000156459017003425/0001564590-17-003425-index.htm,,,https://www.sec.gov/Archives/edgar/data/855612/000095013407006301/0000950134-07-006301-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095013406005061/0000950134-06-005061-index.htm,https://www.sec.gov/Archives/edgar/data/855612/000095013405006393/0000950134-05-006393-index.htm,,,,,,,,,
1640147,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1640147/000164014721000073/0001640147-21-000073-index.htm,,,,,,,,,,,,,,,,,,
0001665300,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/0001665300/000162828021006256/0001628280-21-006256-index.htm,https://www.sec.gov/Archives/edgar/data/0001665300/000162828020004377/0001628280-20-004377-index.htm,https://www.sec.gov/Archives/edgar/data/0001665300/000121390019003625/0001213900-19-003625-index.htm,https://www.sec.gov/Archives/edgar/data/0001665300/000121390018001544/0001213900-18-001544-index.htm,https://www.sec.gov/Archives/edgar/data/0001665300/000121390017001358/0001213900-17-001358-index.htm,,,,,,,,,,,,,,
1467623,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1467623/000146762321000012/0001467623-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762320000011/0001467623-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1467623/000146762319000005/0001467623-19-000005-index.htm,,,https://www.sec.gov/Archives/edgar/data/1467623/000146762322000015/0001467623-22-000015-index.htm,,,,,,,,,,,,,
